"","Lost Mound","High Mesa","Big Pot","Bayless Ruin","Twin Hawks","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Schoolhouse Point Mesa Complex","Lovelady Ranch","AZ W:11:7","WS Ranch","Largo Canyon","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 105878","LA 105880","Slade","Greenwood","Danson Pueblo","Hooper Ranch Pueblo","Apache Creek Pueblo","LA 3274","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","Hudson Ranch","LA 83287","LA 85442","3-Up","Babocomari Village","Aztec","Maddox Ranch","Animas River Ruin","Holmes Group","Flora Vista","Red Willow II","Lizard House","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7067","LA 7068","LA 7075","LA 7095","LA 7138","LA 7189","LA 7192","LA 7200","LA 7290","LA 7318","LA 7343","LA 7417","LA 7433","LA 7434","LA 7465","LA 7475","LA 7501","LA 7502","LA 7526","LA 7538","LA 7582","LA 7584","LA 7591","LA 7624","LA 7641","LA 7690","LA 7704","LA 7753","LA 7778","LA 7781","LA 7787","LA 7935","LA 7938","LA 7973","LA 8200","LA 8204","LA 8433","LA 8458","LA 8477","LA 8500","LA 8519","LA 8549","Shannon Bluff-Point","Fruitland Pueblo","Salmon II","LA 12758","West Water","LA 13114","LA 20266","LA 50078","LA 52606","Kello Blancett","LA 60009","LA 60020","Morris' Old Fort","LA 100068","LA 100069","LA 100082","Awat'ovi","Heshoda Yala:wa","Techado Spring","Jaralosa","Horse Camp Mill","Hinkson Ranch","Eagle Crag","Wide Reed Ruin","Hogay Ruin","Kinlichee","Cornfields","Dinwiddie","Lululongturqi","Abangkuyivi","Hubble Corner","Owens-Colvin","Rocky Point","Schoolhouse Point Mound","Roundy Ruin","Bean Patch","Garcia Ranch","Carter Ranch Pueblo","Broken K Pueblo","Hardscrabble Ruin","Houghton Site","Seven Springs","Malpais Spring","Chezhinchotah","Scribe S","Lower Deracho","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","LA 109993","Citadel/Nalakihu","Wupatki","Crack-in-Rock","Many Farms","Lukachukai GH","Antelope House","White House II","Salina Springs II","Boss Ranch","Old Caves","Elden Pueblo","Burned Pueblo","Turkey Hill Pueblo","Ridge Ruin","Tachini Point","Inscription House","Tower House","Batwoman House","Twin Caves Pueblo","Red House","NA 4157","Kinlani","Olla House","Double Wall Ruin","NA 5628","Hummingbird House","NA 8816","NA 8820","NA 8886","NA 8895","Organ Rock","Pueblo Grande","Burnt Corn GH","Pinon Ruin","AZ E:6:1","Ford House","Montezuma Well (E.Rim)","Montezuma Castle A & B","Honanki","Piglet","Zanardelli Site","Gibbon  Springs","Fitzmaurice Ruin","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Curtis Ruin(Buena Vista)","Drip","Twin Towers","North Mesa","Juniper Terrace","Cosnino Caves","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Earven Flat Site","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1301","LZ1302","LZ1305","South Ruin","LZ1307","LZ1310","LA 47515","LA 47562","FSOP13","FSOP15","LA 15623","LA 15667","LA 15669","LA 15671","LA 15673","AZ Q:4:58 (ASM)","Forestdale Pueblo","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","LA 82726","LA 82740","LA 82741","LA 82693","LA 82747","LA 82763","LA 85977","LA 86042"
"Tanque Verde Village","0.191","0.922","0.625","0.948","0.485","0","0","0","0.003","0.007","0.016","0","0","0.003","0.008","0","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.976","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.997","0.999","0","1","0","1","0.127","0.985","1","0.005","0.145","0.997","1","0.027","0.996","0","0","1","0.975","1","0.998","0","0.003","0","0.016","0","0","0","0","0","0","0","0.044","0","0","0.996","1","0.999","1","0","0","0","0","0","0","0.998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.236","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brady Wash","0.034","0.034","0.159","0.034","0.034","0.007","0.007","0.007","0.019","0.019","0.028","0.007","0.007","0.019","0.018","0.017","0.015","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.027","0.007","0.018","0","0.007","0","0","0.007","0","0.007","0.007","0","0.007","0","0","0","0","0","0","0.007","0","0.007","0","0.007","0","0","0","0","0","0","0","0","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007","0","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007","0.007","0.007","0","0","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0","0.007","0","0","0","0.007","0.527","0.007","0.019","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.006","0","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0","0","0","0.007","0.007","0.003","0.007","0","0.022","0","0","0","0.007","0","0.001","0","0","0","0","0.007","0","0","0","0.007","0","0","0","0","0","0","0","0.966","0","0","0","0","0","0","0","0.007","0.031","0.028","0","0.027","0.966","0.027","0.867","0.042","0.027","0.971","0.63","0.03","0.027","1","0.031","0.966","0.966","0.027","0.043","0.027","0.029","0.966","0.003","0.34","0.364","0.007","0","0","0","0.002","0","0.006","0.034","0.494","0.007","0.027","0.028","0.028","0.027","0","0","0.007","0.007","0","0","0.029","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.027","0.027","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007","0.007"
"Mendoza Canyon","0.191","0.922","0.629","0.948","0.485","0","0","0","0.007","0.011","0.021","0","0","0.007","0.01","0.004","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.976","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0","0.009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0","0","0.999","0.996","0","0.996","0.004","0.996","0.131","0.989","0.996","0.009","0.15","0.996","0.996","0.031","1","0.004","0.004","0.996","0.98","0.996","0.997","0.004","0.003","0.004","0.021","0","0","0","0","0","0","0","0.044","0.004","0","0.996","0.996","0.996","0.996","0","0","0","0","0","0","0.996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.236","0.996","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Escalante","0","0","0.125","0","0","0","0","0","0.008","0.005","0.004","0","0","0.009","0.003","0.01","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.52","0","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0.003","0","0","0","1","0","0.84","0.011","0","0.995","0.601","0","0","0.966","0.004","1","1","0","0.015","0","0.001","1","0","0.333","0.347","0","0","0","0","0","0","0","0","0.487","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Las Acequias","0","0","0.125","0","0","0","0","0","0.008","0.005","0.004","0","0","0.009","0.003","0.01","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.52","0","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0.003","0","0","0","1","0","0.84","0.011","0","0.995","0.601","0","0","0.966","0.004","1","1","0","0.015","0","0.001","1","0","0.333","0.347","0","0","0","0","0","0","0","0","0.487","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dakota Wash","0.191","0.922","0.625","0.948","0.485","0","0","0","0.003","0.007","0.016","0","0","0.003","0.008","0","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.976","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.997","0.999","0","1","0","1","0.127","0.985","1","0.005","0.145","0.997","1","0.027","0.996","0","0","1","0.975","1","0.998","0","0.003","0","0.016","0","0","0","0","0","0","0","0.044","0","0","0.996","1","0.999","1","0","0","0","0","0","0","0.998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.236","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hodges Ruin","0.196","0.922","0.64","0.948","0.485","0.005","0.005","0.005","0.017","0.017","0.026","0.005","0","0.017","0.015","0.015","0.008","0","0","0.005","0.005","0.005","0","0.005","0.005","0","0","0","0.005","0","0.005","0","0.005","0.005","0","0","0","0","0.005","0","0.005","0.005","0","0","0.005","0.975","0","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.021","0","0.017","0.005","0","0","0.005","0.005","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0","0","0","0","0","0","0","0.021","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.015","0","0","0","0","0","0","0.004","0","0.979","0.975","0.004","0.975","0.015","0.975","0.146","0.987","0.975","0.021","0.165","0.976","0.975","0.043","0.98","0.015","0.015","0.975","1","0.975","0.976","0.015","0.003","0.021","0.032","0","0","0.002","0","0.005","0","0.004","0.049","0.021","0","0.979","0.975","0.976","0.975","0","0","0","0","0","0","0.976","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0.236","0.975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Romero Ruin","0.191","0.922","0.625","0.948","0.485","0","0","0","0.003","0.007","0.016","0","0","0.003","0.008","0","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.976","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.997","0.999","0","1","0","1","0.127","0.985","1","0.005","0.145","0.997","1","0.027","0.996","0","0","1","0.975","1","0.998","0","0.003","0","0.016","0","0","0","0","0","0","0","0.044","0","0","0.996","1","0.999","1","0","0","0","0","0","0","0.998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.236","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Los Morteros","0.191","0.923","0.627","0.948","0.485","0.001","0.001","0.001","0.005","0.009","0.018","0.001","0.001","0.004","0.009","0.002","0.004","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.976","0.001","0.001","0","0.001","0","0","0.001","0","0.001","0.001","0","0.001","0","0","0","0","0","0","0.001","0","0.001","0","0.001","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0","0.001","0","0","0","0.001","0.002","0.001","0.006","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0","0","0","0.001","0.001","0.001","0.001","0","0.016","0","0","0","0.001","0","0.001","0","0","0","0","0.001","0","0","0","0.001","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0.001","0.998","0.999","0","0.998","0.001","0.998","0.128","0.987","0.998","0.006","0.147","0.998","0.998","0.029","0.997","0.001","0.001","0.998","0.976","0.998","1","0.001","0.003","0.002","0.017","0.001","0","0","0","0.001","0","0.001","0.044","0.002","0.001","0.996","0.999","0.999","0.998","0","0","0.001","0.001","0","0","0.999","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.236","0.998","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"Casa Buena","0","0","0.125","0","0","0","0","0","0.008","0.005","0.004","0","0","0.009","0.003","0.01","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.52","0","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0.003","0","0","0","1","0","0.84","0.011","0","0.995","0.601","0","0","0.966","0.004","1","1","0","0.015","0","0.001","1","0","0.333","0.347","0","0","0","0","0","0","0","0","0.487","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kuykendall","0.003","0.003","0.003","0.003","0.003","0","0.008","0","0.011","0.011","0.011","0","0","0.011","0.011","0.008","0.011","0.008","0.008","0.01","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0","0.008","0.008","0.008","0.008","0.008","0","0.267","0.027","0.008","0.588","0.008","0.008","0.008","0.008","0","0","0","0.008","0.008","0.008","0","0.008","0","0.008","0","0","0.008","0","0","0","0","0","0.008","0","0.008","0","0.008","0","0","0.008","0.008","0","0","0","0.008","0","0","0.008","0.008","0","0","0","0.008","0","0","0","0.008","0.008","0.008","0.008","0.008","0","0.008","0","0.008","0.008","0","0","0.002","0","0.008","0.008","0.008","0.008","0.008","0.008","0","0","0","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.973","0","0","0.008","0.008","0.008","0.011","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0","0.002","0","0","0.008","0.008","0.008","0.008","0.112","0","0.008","0","0.008","0","0.001","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0.003","0.001","0.003","0","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0","0","0.003","0.003","0.003","0.003","0","1","0.008","0.003","0.008","0","0","0.008","0.008","0.008","0.001","0.011","0.008","0.008","0.003","0.003","0.003","0.003","0","0","0.008","0","0","0.008","0.003","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.004","0.003","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008","0.008"
"Curtis Ruin(Buena Vista)","0.272","0.078","0.235","0.052","0.11","0.219","0.413","0.311","0.249","0.434","0.183","0.134","0.11","0.395","0.417","0.397","0.135","0.172","0.301","0.233","0.601","0.523","0.239","0.369","0.542","0.238","0.175","0.18","0.217","0.326","0.423","0.405","0.317","0.186","0.237","0.143","0.405","0.11","0.186","0.132","0.157","0.255","0.202","0.11","0.49","0","0.165","0.116","0.04","0.122","0.063","0.258","0.008","0","0.01","0.033","0.011","0.26","0","0.023","0","0.015","0","0","0.286","0","0.017","0","0.11","0","0.019","0","0.018","0","0.029","0","0","0.042","0.045","0","0","0","0.021","0","0","0.074","0.034","0","0","0","0.069","0","0","0","0.06","0.021","0.101","0.044","0.169","0","0.029","0","0.009","0.224","0","0","0.002","0","0.165","0.008","0.042","0.136","0.133","0.096","0.11","0","0","0.405","0.405","0.361","0.251","0.291","0.065","0.394","0.174","0.295","0.405","0","0","0","0.405","0.744","0.405","0.401","0.38","0.268","0.405","0.257","0.463","0.405","0.423","0.391","0.129","0","0.405","0.405","0.405","0.242","0.397","0.405","0.405","0.405","0.405","0","0.003","0","0.11","0.041","0.283","0.253","0.022","0.413","0","0.028","0","0.044","0","0.002","0","0","0","0","0.133","0","0","0","0.011","0","0","0","0","0","0","0","0.333","0","0","0","0","0","0","0","0.11","0.003","0.001","0.001","0","0.333","0","0.333","0.015","0","0.333","0.334","0.003","0","0.34","0.004","0.333","0.333","0","0.021","0","0.002","0.333","0.008","1","0.333","0.025","0","0","0.06","0.031","0.295","0.007","0.397","0.719","0.323","0.004","0","0.001","0","0","0","0.266","0.11","0","0.287","0.002","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.295","0.405","0.405","0.405","0.405","0.405","0.405","0.372","0.405","0.353","0.429","0","0","0.405","0.405","0.31","0.405","0.405","0.378","0.333","0.365","0.405","0.405","0.405","0.405","0.405","0.405","0.405","0.353","0.405"
"Drip","0.016","0.016","0.141","0.016","0.016","0","0","0","0.012","0.012","0.021","0","0","0.012","0.01","0.01","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016","0","0.018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.347","0","0.012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.347","0","0","0","0","0","0","0","0","0.02","0.016","0","0.016","0.347","0.016","0.385","0.028","0.016","0.352","0.484","0.017","0.016","0.364","0.021","0.347","0.347","0.016","0.032","0.016","0.017","0.347","0.003","0.333","1","0","0","0","0","0","0","0","0.016","0.347","0","0.016","0.016","0.017","0.016","0","0","0","0","0","0","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016","0.016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Twin Towers","0.007","0.007","0.007","0.007","0.007","0.007","0.025","0.007","0.025","0.025","0.025","0.011","0.007","0.021","0.025","0.023","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.007","0.025","0.025","0.025","0.025","0.025","0.007","0.025","0","0.71","0.018","0.894","0.555","0.894","0.76","0.904","0.213","0.445","0.466","0.363","0.167","0.381","0.376","0.617","0.291","0.453","0.183","0.415","0.558","0.782","0.516","0.436","0.694","0.594","0.562","0.668","0.575","0.605","0.411","0.473","0.666","0.733","0.224","0.186","0.576","0.601","0.262","0.739","0.335","0.8","0.788","0.058","0.449","0.522","0.629","0.204","0.686","0.555","0.555","0.61","0.615","0.473","0.158","0.788","0.915","0.889","0.724","0.926","0.876","0.878","0.876","0.853","0.884","0.957","0.88","0.624","0.914","0.021","0.876","0.041","0.025","0.026","0.025","0.025","0.025","0.057","0.117","0.069","0.021","0.043","0","0.003","0.003","0.025","0.025","0.028","0.026","0.016","0.025","0.026","0.025","0.025","0.025","0.028","0.025","0.051","0.003","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.015","0.038","0.041","0.048","0.066","0.449","0.314","0.059","0.025","0.041","0.053","0","0.066","0.041","0.046","0.041","0.041","0.041","0.041","0.066","0.227","0.041","0.041","0.048","0.041","0.041","0.041","0.049","0.041","0.041","0.041","0","0.041","0.041","0.061","0.264","0.041","0.041","0.041","0.011","0","0.001","0.006","0","0","0","0","0.004","0","0","0.042","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0.008","0.025","0","1","0.037","0.041","0.059","0.06","0.018","0.048","0.025","0.021","0.025","0","0","0.001","0","0.041","0.041","0.025","0.4","0.513","0.177","0.002","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.018","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.028","0","0","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025"
"North Mesa","0","0","0","0","0","0.073","0","0","0.069","0.034","0.111","0.24","0.064","0.152","0.044","0","0.106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.039","0","0","0","0","0","0","0.034","0","0","0.04","0.009","0.034","0.034","0","0.112","0.034","0.062","0.034","0","0.017","0","0.034","0","0","0.072","0.018","0.027","0","0","0","0","0","0","0.034","0","0","0.034","0","0","0","0.045","0","0","0.034","0","0.143","0","0","0","0.016","0.017","0","0.034","0","0","0.002","0","0","0","0","0","0","0","0.034","0.034","0","0.013","0","0","0.589","0","0.006","0","0","0","0.935","0.051","0.686","0.341","0.177","0","0.865","0.5","0","0","0.077","0.079","0.043","0","0.001","0","0","0","0.025","0","0.696","0.637","0","0","0","0","0","0","0","0","0","0.381","0.772","0.865","0.572","0.311","0.152","0.421","0.646","0","0.789","0.944","0","0.823","0.954","0.393","0.534","0.129","0.534","0.457","0.688","0.234","0.534","0.473","0.534","0.534","0.534","0.367","0.462","0.351","0.534","0.07","0","0.203","0.534","0.5","0.26","0.608","0.549","0.752","0.499","0","0","0.033","0","0","0","0.007","0","0","0","0.072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.037","1","0.832","0.596","0.912","0","0.673","0.216","0","0","0","0","0","0","0.534","0.534","0","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
