"","Buzan","Ash Terrace","Lost Mound","Dudleyville Mound","Leaverton","Camp Village","High Mesa","Bayless Ruin","Flieger","Big Bell","111 Ranch","Davis Ranch Site","Jose Solas Ruin","Armer Gulch Ruin","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Saguaro Muerto","Schoolhouse Point Mesa Complex","Tonto Cliff Dwellings","Lovelady Ranch","AZ W:11:7","WS Ranch","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 11493","LA 105878","Rudd Creek Pueblo","Slade","Greenwood","Springerville Area Site R57-59","Casa Malpais","Danson Pueblo","Hooper Ranch Pueblo","LA 3279","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","LA 8099","Hudson Ranch","LA 83287","LA 85442","LA 3262","Gila Cliff Dwellings","3-Up","Babocomari Village","Hereford","NA 5653","Aztec","Maddox Ranch","Pendleton","Animas River Ruin","Flora Vista","Red Willow II","Clanton Draw","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7059","LA 7068","LA 7072","LA 7075","LA 7077","LA 7081","LA 7095","LA 7098","LA 7183","LA 7329","LA 7434","LA 7437","LA 7438","LA 7526","LA 7547","To Dil Hil Dry Lake","LA 7582","LA 7641","LA 7704","LA 7935","LA 7938","LA 8240","LA 8476","LA 8477","Shannon Bluff-Point","Salmon II","LA 20266","LA 50078","Stewart Ranch","Hoskins","Double Adobe","Saddle Bronc","Kello Blancett","Morris' Old Fort","LA 100068","LA 100069","Kinishba","Awat'ovi","Heshoda Yala:wa","Archeotekopa II","Techado Spring","Jaralosa","Fort Site","Horse Camp Mill","Hinkson Ranch","Ojo Pueblo","Eagle Crag","Eighteen Mile Ruin","Wide Reed Ruin","Hogay Ruin","Togetzoge","Gila Pueblo","Chevelon","Dinwiddie","Hukovi","Old Shongopavi I","Lululongturqi","Pink Arrow","Hubble Corner","Owens-Colvin","Fischer site","Yuma Wash Site","Emigrant Springs","Rocky Point","Wide Ruins","Schoolhouse Point Mound","Cooper Forks Cliff Dwelling","Roundy Ruin","Shumway Ruin","Fourmile Ruin","Bailey Ruin","NA 4566","Pottery Hill--Silver Creek","Pinedale Ruin","Blue Springs Ruin","Tundastusa","Sherwood Ranch","Bean Patch","Garcia Ranch","Broken K Pueblo","Hardscrabble Ruin","Puerco Ruin","Wallace Tank Ruin","Seven Springs","Malpais Spring","Homol'ovi III","Cottonwood Creek","Homol'ovi I","Scribe S","Upper Nutria","Lower Deracho","Day Ranch","Halona:wa South","Atsinna","Cienega","Mirabal","Tinaja","North Atsinna","Yellowhouse","Big House","Naat'a'anii Bikin","Lookout Site","Pueblo de los Muertos","Jack's Lake","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","Wupatki","Many Farms","Antelope House","Three Turkey House","White House II","Salina Springs II","Boss Ranch","Old Caves","Burned Pueblo","Turkey Hill Pueblo","Tachini Point","Inscription House","Whirling Spring","Tower House","Swallow's Nest","Betatakin","Kiet Siel","Batwoman House","Twin Caves Pueblo","Nagashi Bikin","Red House","Scaffold House","Moqui Rock Pueblo","Kinlani","Double Wall Ruin","NA 5628","NA 5651","NA 5654","Hummingbird House","NA 8816","NA 8839","Fireside","Otherside","Organ Rock","Pueblo Grande","Burnt Corn GH","Porcupine Wash","Pinon Ruin","Thief Site","AZ E:6:1","Ford House","Chavez Pass Pueblo","Montezuma Well (E.Rim)","Jackson Ranch Ruin","Clear Creek Ruin","Honanki","Pollack Ruin","Zanardelli Site","Gibbon  Springs","Cherry Creek Mound","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Kimble Ranch/Glass Ranch","Curtis Ruin(Buena Vista)","Fort Grant Pueblo","Drip","Twin Towers","Juniper Terrace","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Crescent Site","Rattlesnake Mesa","Earven Flat Site","AZ CC:2:185","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","Pivanhonkyapi","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1307","LA 47508","LA 47515","LA 47561","LA 47562","LA 2347","LA 47564","LA 47565","LA 47581","LA 47591","FSOP13","FSOP15","AZ Q:4:58 (ASM)","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","Chodistaas","Veteado Pueblo"
"Gibbon  Springs","0.076","0.255","0.027","0","0.001","0.061","0.137","0.528","0.213","0.689","0.075","0.217","0.335","0.001","0.001","0.001","0.001","0.004","0.007","0.016","0.001","0.001","0.004","0.01","0.001","0.003","0.003","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.365","0","0","0.001","0","0.036","0","0","0","0","0.001","0.001","0.001","0.001","0.001","0","0.001","0","0.001","0.001","0","0.001","0","0.001","0","0","0.001","0","0","0.001","0","0","0","0","0.001","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0.001","0.001","0.001","0.001","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0","0","0.001","0","0","0","0","0","0.001","0.001","0","0.001","0.001","0.001","0","0.006","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0","0.001","0.001","0","0.001","0.001","0.012","0","0","0.001","0.001","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0.001","0","0.001","0.989","1","0.001","0.996","0","0.999","0.124","0.989","0.999","0.006","0.106","0.997","0.999","0.034","0.997","0","0","0.999","0.964","0.923","0.995","0","0.004","0","0.001","0","0.011","0.001","0","0.001","0.001","0.001","0.104","0","0","0.001","0","0.001","0.997","1","0.999","0.999","0","0","0","0.001","0.001","0","0.001","0.991","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.166","0.865","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"Cherry Creek Mound","0.017","0.044","0.061","0","0.333","0","0.009","0.022","0.13","0.053","0.014","0","0","0.077","0.484","0.199","0.483","0.523","0.476","0.5","0.484","0.484","0.499","0.521","0.338","0.525","0.496","0.484","0.524","0.616","0.601","0.676","0.599","0.582","0.664","0.617","0.591","0.483","0.545","0.665","0.764","0.947","0.611","0.748","0.915","0.733","0.562","0.505","0.971","0.483","0.568","0.498","0.522","0.578","0.61","0.56","0.483","0.659","0.54","0.174","0","0","0","0.288","0.042","0.366","0.032","0.061","0.35","0.286","0.082","0.022","0.082","0.147","0.513","0","0.166","0","0.178","0.121","0","0.136","0","0.065","0.048","0","0.029","0.02","0","0.1","0.032","0.227","0.041","0","0.069","0.221","0.087","0","0.262","0.021","0.011","0.007","0","0.059","0.111","0.046","0.205","0.005","0.508","0.07","0.483","0.47","0","0.997","0.776","0.856","0.853","0.941","0.689","0.747","0.92","0.048","0.199","0.851","0.246","0.001","0.021","0.208","0","0","0","0","0","0.947","0.091","0.516","0.557","0.702","0.984","0.044","0.5","0.525","0.491","0.484","0.484","0.501","0.565","0.541","0.504","0.001","0.752","0.696","0.677","0.863","0.789","0.903","0.319","0.401","0.83","0.344","0.25","0.499","0.144","0.653","0.975","0.707","0.857","0.727","0.689","0.599","0.61","0.64","0.592","0.902","0.483","0.483","0.749","0.586","0.787","0.922","0.647","0.534","0.778","0.897","0.907","0.012","0.114","0.41","0.087","0.421","0.093","0.351","0","0","0.077","0.005","0","0","0","0","0","0","0","0","0","0.201","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.364","0","0.09","0.197","0","0.076","0","0.001","1","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.381","0.284","0","0.023","0","0.04","0.584","0.009","0.584","0.001","0","0.314","0","0.804","0","0","0","0","0","0","0","0.6","0.133","0","0.441","0.008","0.952","0.777","0.977","0.795","0.971","0.913","0.88","0.483","0.52","0.486","0.504","0.543","0.499","0.483","0.892","0.902","0.777","0","0","0.717","0.772","0.722","0.939","0.914","0.796","0.748","0.766","0.972","0.499","0.761"
"University Indian Ruins","0.081","0.258","0.03","0.001","0.004","0.065","0.141","0.531","0.216","0.692","0.079","0.221","0.339","0.001","0","0","0","0.004","0.01","0.018","0.003","0","0.007","0.01","0.003","0.005","0.007","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.004","0.369","0.003","0","0","0","0.039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0.001","0","0.003","0","0","0","0","0","0.001","0.004","0.004","0","0","0","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.989","0.996","0","1","0","0.996","0.124","0.988","0.996","0.006","0.106","0.997","0.996","0.034","0.996","0","0","0.996","0.964","0.926","0.995","0","0.008","0.003","0.003","0.004","0.011","0","0","0","0","0","0.104","0.003","0.004","0.001","0.004","0","0.996","0.996","0.996","0.996","0","0","0","0","0","0","0","0.99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.167","0.866","0","0","0","0","0","0","0","0","0","0","0"
"Pueblo Blanco","0.206","0.206","0.206","0.206","0.206","0.206","0.206","0.206","0.206","0.143","0.24","0.21","0.206","0.003","0.206","0","0","0.161","0.09","0.19","0.206","0.206","0.099","0.207","0.183","0.131","0.199","0.206","0","0","0.035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.206","0","0","0","0","0.011","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.261","0","0","0.011","0","0","0","0","0.148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.237","0.001","0","0","0","0","0","0","0.245","0.072","0.021","0","0","0","0.092","0.097","0","0.024","0.034","0.06","0.087","0.009","0.206","0.033","0.088","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.794","0","0","0","0","0","0","0.007","0","0","0","0","0","0.01","0","0","0","1","0","0.838","0.009","0","0.794","0.732","0","0","0.796","0.003","0.794","0.794","0","0.033","0.039","0.002","0.794","0.002","0","0.309","0.146","0.298","0","0","0","0","0","0","0.238","0.206","0.574","0.191","0","0.002","0","0.001","0","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.116","0","0","0","0","0","0","0","0","0","0.206","0"
"Sunset Mesa","0.076","0.254","0.026","0","0","0.061","0.137","0.527","0.212","0.688","0.075","0.217","0.335","0","0","0","0","0.003","0.006","0.016","0","0","0.003","0.009","0","0.003","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.365","0","0","0","0","0.035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.989","0.999","0","0.996","0","1","0.124","0.988","1","0.006","0.105","0.996","1","0.033","0.997","0","0","1","0.964","0.923","0.994","0","0.004","0","0","0","0.011","0","0","0","0","0","0.104","0","0","0","0","0","0.997","0.999","0.999","1","0","0","0","0","0","0","0","0.99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.166","0.865","0","0","0","0","0","0","0","0","0","0","0"
"Pueblo Salado","0.12","0.167","0.07","0.044","0.044","0.104","0.167","0.167","0.167","0.215","0.153","0.171","0.167","0.003","0.044","0","0","0.062","0.054","0.068","0.044","0.044","0.063","0.059","0.056","0.047","0.057","0.044","0","0","0.035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.044","0.124","0","0","0","0.011","0.039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.261","0","0","0.011","0","0","0","0","0.044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.076","0.001","0","0","0","0","0","0","0.245","0.072","0.021","0","0","0","0.067","0.044","0","0.024","0.034","0.044","0.044","0.009","0.044","0.033","0.044","0","0","0","0","0","0","0.04","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.055","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.808","0","0","0","0","0","0","0.007","0","0","0","0.002","0","0.134","0.124","0","0.124","0.838","0.124","1","0.133","0.124","0.814","0.862","0.124","0.124","0.843","0.127","0.808","0.808","0.124","0.159","0.162","0.126","0.808","0.006","0","0.309","0.044","0.332","0","0.002","0","0","0.002","0.104","0.077","0.044","0.574","0.185","0","0.125","0.124","0.124","0.124","0","0","0","0","0","0","0","0.125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.124","0.167","0","0","0","0","0","0","0","0","0","0.044","0"
"White Rincon","0.076","0.257","0.029","0","0.003","0.061","0.139","0.53","0.215","0.7","0.086","0.22","0.335","0.003","0.003","0.003","0.003","0.015","0.013","0.027","0.003","0.003","0.015","0.018","0.012","0.006","0.014","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.365","0","0","0.003","0.009","0.042","0","0","0","0","0.003","0.003","0.003","0.003","0.003","0","0.003","0","0.003","0.003","0","0.003","0","0.003","0","0","0.003","0","0","0.003","0","0","0","0","0.003","0","0","0","0.003","0","0","0","0","0.009","0","0","0.009","0","0.003","0.003","0.003","0.003","0","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0","0.009","0.003","0","0","0","0","0","0.003","0.012","0.009","0.012","0.003","0.003","0","0.017","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0","0.003","0.002","0","0.003","0.003","0.014","0","0","0.003","0.003","0","0","0","0","0","0","0","0","0","0.003","0","0","0","0.003","0","0","0","0","0","0","0","0","0","0.009","0","0","0","0","0","0","0.003","0","0","0.003","0","0.003","0.995","0.989","0.003","0.988","0.009","0.988","0.133","1","0.988","0.015","0.115","0.99","0.988","0.045","0.992","0.009","0.009","0.988","0.973","0.923","0.991","0.009","0.004","0","0.012","0","0.02","0.003","0","0.002","0.003","0.003","0.107","0.009","0","0.012","0.009","0.003","0.988","0.989","0.989","0.988","0","0","0","0.003","0.003","0","0.003","0.992","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.166","0.865","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003"
"Jackrabbit","0.076","0.254","0.026","0","0","0.061","0.137","0.527","0.212","0.688","0.075","0.217","0.335","0","0","0","0","0.003","0.006","0.016","0","0","0.003","0.009","0","0.003","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.365","0","0","0","0","0.035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.989","0.999","0","0.996","0","1","0.124","0.988","1","0.006","0.105","0.996","1","0.033","0.997","0","0","1","0.964","0.923","0.994","0","0.004","0","0","0","0.011","0","0","0","0","0","0.104","0","0","0","0","0","0.997","0.999","0.999","1","0","0","0","0","0","0","0","0.99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.166","0.865","0","0","0","0","0","0","0","0","0","0","0"
"Casa Grande","0.006","0.006","0.006","0","0","0.006","0.006","0.006","0.006","0.053","0.041","0.01","0.006","0","0","0","0","0.019","0.011","0.015","0","0","0.02","0.013","0.013","0.003","0.014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0","0","0","0.011","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.261","0","0","0.011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.032","0","0","0","0","0","0","0","0.246","0.044","0.022","0","0","0","0.023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.994","0","0","0","0","0","0","0","0","0","0","0","0","0.013","0.006","0","0.006","0.794","0.006","0.814","0.015","0.006","1","0.739","0.007","0.006","0.963","0.009","0.994","0.994","0.006","0.039","0.006","0.008","0.994","0.004","0","0.309","0","0.304","0","0","0","0","0","0.006","0.033","0","0.574","0.141","0","0.006","0.006","0.007","0.006","0","0","0","0","0","0","0","0.007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0.006","0","0","0","0","0","0","0","0","0","0","0"
"Las Colinas","0.078","0.107","0.029","0.001","0.002","0.062","0.107","0.107","0.107","0.155","0.111","0.125","0.107","0.002","0.001","0.001","0.001","0.02","0.012","0.027","0.005","0.001","0.022","0.017","0.013","0.004","0.016","0.002","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.002","0.107","0","0.032","0.009","0.011","0.04","0","0","0","0","0.016","0.001","0.001","0.001","0.01","0","0.001","0","0.001","0.001","0","0.001","0","0.007","0.015","0","0.001","0","0","0.015","0","0","0","0","0.001","0","0","0","0.001","0","0.002","0","0","0.261","0","0","0.011","0","0.001","0.007","0.001","0.018","0.022","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.033","0.018","0.023","0.033","0.001","0.033","0.033","0","0.032","0.017","0.017","0.032","0.001","0.247","0.046","0.024","0.001","0.001","0.015","0.025","0.001","0.002","0.001","0.001","0.003","0.016","0.002","0.001","0","0.001","0.001","0.001","0.002","0.001","0.001","0.018","0.001","0.001","0.033","0.018","0.018","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.032","0.033","0.033","0","0.033","0.033","0.012","0.034","0.017","0.033","0.033","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.033","0.032","0.032","0.032","0.033","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.032","0.732","0.032","0.032","0.032","0.032","0.017","0.032","0.033","0.017","0.017","0.033","0.034","0.033","0.112","0.106","0.001","0.106","0.732","0.105","0.862","0.115","0.105","0.739","1","0.108","0.105","0.768","0.108","0.732","0.732","0.105","0.14","0.105","0.109","0.732","0.005","0","0.309","0.001","0.435","0.018","0.034","0.033","0.016","0.035","0.105","0.033","0.001","0.576","0.142","0.001","0.105","0.105","0.106","0.105","0.032","0.032","0.032","0.001","0.01","0","0.001","0.107","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.107","0.107","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001"
"Whiptail Ruin","0.079","0.257","0.03","0.002","0.004","0.063","0.14","0.531","0.216","0.692","0.078","0.219","0.337","0.003","0.002","0.002","0.002","0.007","0.01","0.02","0.002","0.002","0.007","0.013","0.002","0.005","0.007","0.004","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.004","0.367","0","0","0.002","0.001","0.038","0","0","0","0","0.002","0.002","0.002","0.002","0.002","0","0.002","0","0.002","0.002","0","0.002","0","0.002","0","0","0.002","0","0","0.002","0","0","0","0","0.002","0","0","0","0.002","0","0","0","0","0.001","0","0","0.001","0","0.002","0.002","0.002","0.002","0","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0","0","0","0","0","0.002","0.004","0.002","0.004","0.002","0.002","0","0.01","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0","0.002","0.002","0","0.002","0.002","0.014","0","0","0.002","0.002","0","0","0","0","0","0","0","0","0","0.002","0","0","0","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.002","0","0","0.002","0","0.002","0.989","0.997","0.002","0.997","0","0.996","0.124","0.99","0.996","0.007","0.108","1","0.996","0.037","0.996","0","0","0.996","0.964","0.923","0.997","0","0.006","0","0.002","0.002","0.011","0.002","0","0.002","0.002","0.002","0.106","0","0.002","0.004","0.002","0.002","0.996","0.996","0.996","0.996","0","0","0","0.002","0.002","0","0.002","0.993","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.168","0.867","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002"
"Tanque Verde Village","0.076","0.254","0.026","0","0","0.061","0.137","0.527","0.212","0.688","0.075","0.217","0.335","0","0","0","0","0.003","0.006","0.016","0","0","0.003","0.009","0","0.003","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.365","0","0","0","0","0.035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.989","0.999","0","0.996","0","1","0.124","0.988","1","0.006","0.105","0.996","1","0.033","0.997","0","0","1","0.964","0.923","0.994","0","0.004","0","0","0","0.011","0","0","0","0","0","0.104","0","0","0","0","0","0.997","0.999","0.999","1","0","0","0","0","0","0","0","0.99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.166","0.865","0","0","0","0","0","0","0","0","0","0","0"
